vm_id,cores,mem
vm_00654,24,65536
vm_00655,2,8192
vm_00656,2,4096
vm_00657,2,8192
vm_00658,2,2048
vm_00659,2,8192
vm_00660,24,65536
vm_00661,8,32768
vm_00662,4,8192
vm_00663,2,8192
vm_00664,2,8192
vm_00665,2,8192
vm_00666,2,4096
vm_00667,2,4096
vm_00668,2,8192
vm_00669,2,8192
vm_00670,2,8192
vm_00671,2,4096
vm_00672,4,32768
vm_00673,2,4096
vm_00674,2,4096
vm_00675,24,65536
vm_00676,4,32768
vm_00677,2,8192
vm_00678,4,32768
vm_00679,2,8192
vm_00680,2,4096
vm_00681,4,32768
vm_00682,4,8192
vm_00683,24,65536
vm_00684,4,8192
vm_00685,2,8192
vm_00686,2,8192
vm_00687,2,8192
vm_00688,8,32768
vm_00689,2,8192
vm_00690,2,8192
vm_00691,2,2048
vm_00692,2,2048
vm_00693,4,32768
vm_00694,2,2048
vm_00695,2,8192
vm_00696,4,32768
vm_00697,2,4096
vm_00698,2,2048
vm_00699,4,32768
vm_00700,2,8192
vm_00701,2,4096
vm_00702,4,32768
vm_00703,2,2048
vm_00704,2,8192
vm_00705,4,32768
vm_00706,24,65536
vm_00707,4,8192
vm_00708,4,8192
vm_00709,2,4096
vm_00710,4,8192
vm_00711,2,8192
vm_00712,4,32768
vm_00713,4,32768
vm_00714,24,65536
vm_00715,4,8192
vm_00716,2,2048
vm_00717,2,4096
vm_00718,2,8192
vm_00719,8,32768
vm_00720,2,2048
vm_00721,2,8192
vm_00722,4,32768
vm_00723,2,4096
vm_00724,4,32768
vm_00725,2,8192
vm_00726,2,8192
vm_00727,2,8192
vm_00728,2,8192
vm_00729,4,8192
vm_00730,2,4096
vm_00731,4,32768
vm_00732,4,32768
vm_00733,4,32768
vm_00734,2,8192
vm_00735,2,8192
vm_00736,2,8192
vm_00737,2,8192
vm_00738,2,2048
vm_00739,2,8192
vm_00740,2,4096
vm_00741,2,8192
vm_00742,24,65536
vm_00743,2,2048
vm_00744,4,32768
vm_00745,2,8192
vm_00746,2,8192
vm_00747,4,32768
vm_00748,2,4096
vm_00749,8,32768
vm_00750,4,32768
vm_00751,2,8192
vm_00752,4,32768
vm_00753,2,8192
vm_00754,2,8192
vm_00755,2,4096
vm_00756,4,8192
vm_00757,2,8192
vm_00758,24,65536
vm_00759,2,4096
vm_00760,2,8192
vm_00761,2,8192
vm_00762,2,8192
vm_00763,4,32768
vm_00764,2,2048
vm_00765,4,32768
vm_00766,2,4096
vm_00767,4,32768
vm_00768,24,65536
vm_00769,2,8192
vm_00770,2,4096
vm_00771,2,8192
vm_00772,2,8192
vm_00773,2,2048
vm_00774,4,32768
vm_00775,4,8192
vm_00776,2,8192
vm_00777,2,4096
vm_00778,2,8192
vm_00779,4,32768
vm_00780,4,32768
vm_00781,2,4096
vm_00782,8,32768
vm_00783,4,65536
